brand,sub-brand,Color,year,milage,Specs,no. of cylinders,overall-inc,price,brand_weight,sub_brand_weight
Audi,A4,White,2015.0,125000.0,GCC,4.0,4.2,40000.0,17,2
Mercedes,C230,Silver,2008.0,193000.0,GCC,4.0,4.2,23000.0,26,2
Volkswagen,Passat 2.5L,White,2013.0,145000.0,GCC,5.0,4.0,22000.0,4,2
Infiniti,QX70,White,2014.0,111900.0,GCC,6.0,4.0,63000.0,20,3
Mercedes,S500,White,2015.0,47000.0,GCC,8.0,4.6,275500.0,26,5
Volvo,S90 T5,Blue,2017.0,16700.0,GCC,4.0,4.9,108000.0,10,4
Chevrolet,Tahoe,White,2010.0,190000.0,GCC,8.0,4.6,42000.0,7,3
Porsche,Cayenne,Gold,2009.0,92000.0,GCC,6.0,3.9,41000.0,29,1
BMW,X5 50i,Brown,2014.0,81000.0,GCC,8.0,4.6,122000.0,25,5
Nissan,Altima 2.5L,Grey,2015.0,48500.0,GCC,4.0,3.9,42500.0,13,2
Chevrolet,Epica,Silver,2008.0,191000.0,GCC,6.0,3.5,8000.0,7,1
Toyota,Camry SE,Grey,2015.0,84000.0,GCC,4.0,3.4,41000.0,15,2
Honda,Accord,Black,2016.0,45000.0,GCC,6.0,4.8,65000.0,9,2
Audi,A7 50TFSI S-Line,Blue,2014.0,89000.0,GCC,6.0,4.2,85000.0,17,4
Jeep,Wrangler SAHARA,Grey,2017.0,30500.0,GCC,6.0,4.8,108150.0,21,4
Audi,A3 40TFSI,Silver,2015.0,78500.0,GCC,4.0,4.6,57000.0,17,3
Audi,A6,White,2015.0,95000.0,GCC,4.0,3.6,54000.0,17,3
Chevrolet,Silverado LT 5.3L,White,2018.0,34000.0,GCC,8.0,5.0,109000.0,7,4
Ford,Escape,Blue,2016.0,92000.0,GCC,4.0,4.2,45000.0,12,3
Honda,Pilot,Silver,2016.0,37000.0,GCC,6.0,4.1,99000.0,9,4
Audi,A3,Red,2016.0,18000.0,GCC,4.0,4.8,70000.0,17,3
